Sigla,Código,Município,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,
AL,2702801,Flexeiras,,,,,,,,,,,,,,11.9334592103,14.7536062851,15.7732179524,13.956450349,17.1337105924,16.3969098203,29.7790631574,27.9687837396968,49.0147653708974,42.5659036747333,53.9699577659675,66.1756776856234,
AL,2702900,Girau do Ponciano,22.5745102086,12.5153100682,13.2982205089,9.9906851296,6.1812801594,10.0689909322,10.7773321834,37.9700873036,23.2705720956,47.7062688678,79,96.0130646731,57.3029263306,91.4898539453,95.160760539,48.6912380271,289.2791526878,183.5754706331,307.442059131,269.697175765,481.274165483085,420.126560321978,391.262346909165,398.641733498624,794.108132227481,
AL,2703007,Ibateguara,,,,,,,,,,,,,,6.3645115788,24.3434503704,15.7732179524,12.6876821354,9.7906917671,17.5681176646,38.2070999,35.8844772509318,45.7471143461709,44.2857381666417,42.112921590111,60.6610378784881,
AL,2703106,Igaci,,,,9.9906851296,7.7266001992,20.1379818642,37.7206626416,34.1730785731,25.5976293051,28.1900679674,39,33.2352916176,20.5264213721,19.0935347364,18.4420078564,15.0874258675,39.9661987266,44.058112952,93.6966275447,123.6112055589,174.145257247169,79.3572391719292,51.5950347572525,65.4181306254152,89.4159454442649,
AL,2703205,Igreja Nova,,,,1.6651141883,3.0906400797,1.4384272761,1.3471665229,1.2656695768,1.1635286048,9.7581004502,12,5.5392152696,3.4210702287,2.3866918421,2.950721257,2.7431683396,22.8378278438,10.4026100025,12.8832862874,9.551774975,14.7759612209719,15.4046405451392,14.1886345582444,13.083626125083,15.3622108913054,
AL,2703304,Inhapi,,,,,,,,,,2.1684667667,2,2.7696076348,2.5658026715,1.5911278947,2.2130409428,2.0573762547,0.6343841068,4.2834276481,3.5136235329,8.4280367427,9.49883221348195,17.7386769913724,21.4979311488552,22.8963457188953,24.8158791321088,
AL,2703403,Jacaré dos Homens,,,,18.3162560708,,,,,,1.0842333834,1,,,,,,,,,,,,,12.2658994922653,3.54512559030125,
AL,2703502,Jacuípe,,,,1.6651141883,16.9985204383,12.9458454842,8.0829991375,5.0626783071,2.3270572096,2.1684667667,3,2.7696076348,6.8421404574,11.9334592103,11.8028850281,13.7158416978,11.4189139219,12.2383647089,21.0817411976,20.2272881824,18.9976644269639,35.9441612719914,12.8987586893131,22.0786190860776,29.5427132525104,
AL,2703601,Japaratinga,,,,,,15.8227000363,12.1244987063,12.656695768,1.1635286048,8.6738670669,6,4.6160127247,11.9737458004,23.0713544732,22.8680897419,19.8879704618,83.7387020938,80.7732070786,105.4087059878,168.5607348531,158.313870224699,119.035858757894,109.639448859161,139.831254211825,99.2635165284351,
AL,2703700,Jaramataia,11.2872551043,2.0858850114,15.1979662958,24.9767128237,49.4502412747,30.2069727964,21.5546643667,18.9850436517,25.5976293051,5.4211669168,8,15.6944432639,5.131605343,,19.1796881706,11.6584654431,10.7845298151,7.3430188253,14.0544941317,29.2171940412,22.6916547322069,30.3424738010317,6.01942072167945,6.13294974613267,16.5439194214058,
