Sigla,Código,Estado,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,
MS,50,Mato Grosso do Sul,3189.7782924804,3708.7035501768,3613.3164868249,4254.3667509871,3597.5050527405,4037.6653637934,4417.3590286493,6233.4226656708,5175.3752340509,3369.7973554822,3955,4314.12549247301,4680.87934040626,4526.75886042214,5063.43767705028,5013.14014053172,5692.96297416703,8520.34951031981,4645.01031052854,5584.97901479943,6013.28850403482,5791.21123039384,4739.00394245364,5598.56539158631,5726.16563402326,
MT,51,Mato Grosso,3169.4612332928,2899.380165775,2634.9474065329,3316.9074629982,4071.9183049702,4896.4064475783,4988.557634368,4794.3563568646,5922.3605983186,3767.7110071754,4068,3426.92784679217,4134.3633713729,4412.19765200372,5191.79405173075,5715.39123545709,5574.33314620077,5871.35546908349,5756.48655477755,6115.38346047052,6846.01946141674,6560.97645036156,6495.38491731511,7140.38895776407,10382.4911454623,
PA,15,Pará,907.4953103875,882.3293598012,1063.8576407056,1560.2119943929,1985.7362511887,1976.399077255,2252.4624263196,3061.6547062452,3512.6928578243,2923.0932015387,3265,3582.02587434095,4070.21830458495,4331.84569332136,4882.70600005766,5282.65642989273,4793.40631076511,4404.58745872465,4781.45602439051,5256.84745095206,6009.06680082883,5974.66649506777,6515.59297259503,6536.0889761118,6397.37607912029,
PB,25,Paraíba,456.0051062145,531.900677894,619.317126554,842.5477792575,899.3762631838,1008.337520493,1795.7729750496,1447.9259958434,1419.5048978286,1560.2118386554,1630,1729.15836665995,1221.32207164264,1029.45974787105,1927.55866114982,1275.57327789179,1191.37335251679,1411.6953691689,1662.52953499628,1528.28399600145,2209.0062025353,2583.77834598016,3254.78677593668,3147.02094639888,3571.51708080683,
PE,26,Pernambuco,2018.1612126522,2035.8237710761,5402.877018153,6099.3132715705,6992.5731802624,7786.2068451063,6831.4814377196,8004.094403593,8592.6587462833,9995.5475611946,11107,10940.8733600038,6891.74597569773,4428.10893095073,3741.51455390429,3234.88126441698,3352.72000428714,2547.41561415264,4029.54058834428,4370.77985474092,6115.13709387938,9900.98260492128,10905.4705131913,6595.37415699108,9016.82998750955,
PI,22,Piauí,6379.5565849614,4985.2651771245,9624.1121568084,22417.4323164535,20212.7861210653,14503.6622241289,13913.535848702,9791.2198460156,12200.7609496989,15065.4228617857,11839,16522.5559466701,5424.10684758935,5388.35461540231,15222.7709649781,20455.1205159562,18742.2440504558,27248.7190243135,28032.274149608,17780.3481814213,24524.9293494089,46396.9100928023,52332.4137956582,43723.0253301291,39806.6396421193,
PR,41,Paraná,20373.4954632954,19238.1174596661,20988.3914544859,31096.0074656265,31071.7500410021,30628.4319883327,29974.4551349359,27142.28407417,25551.0881609173,26183.1519747573,29384,27705.3083734464,26179.7399250568,29785.1186248409,30584.9635093505,36469.0514901773,42689.6096969715,45660.1148923473,49313.1206806981,47824.0516925219,52305.8472964391,57812.6823513289,60922.1271654948,60989.732045391,71239.692639947,
RJ,33,Rio de Janeiro,7223.8432667632,6291.0291942255,6062.0888062322,6402.3640538321,6304.9057625356,5381.1564395974,5240.4777741536,5115.8364293688,5109.0541035789,5044.9379327736,5314,5652.7691826262,5612.26571016735,5117.86287330327,3943.63896001031,3730.02314970616,4762.32148953331,5320.62905718405,6492.5906849256,6662.08211051075,6612.77035928568,7183.69737421658,7700.98889614291,7587.68542591534,8367.28419879769,
RN,24,Rio Grande do Norte,1582.4731656255,1455.9477379217,2180.9081634462,3280.2749508575,4147.6389869215,3751.4183358645,4884.8258121025,4886.7502359695,7921.3027413264,7959.3572672442,5444,6051.59268203735,2976.33109896104,2410.55876047084,2089.84833028605,1888.67140178172,1540.28461124109,1285.02829443203,2514.5832417309,3425.15413221502,4616.96016865298,5372.01828465036,5613.10982296609,5501.66478559742,8449.60989306135,
RO,11,Rondônia,3149.1441741048,2991.1591062733,2376.5819795042,2261.2250676472,1389.242715814,1447.0578396788,1612.5583279328,1845.3462429546,1910.5139690447,1940.777756214,1973,2088.28415663898,2009.0234917987,1771.7209107487,2424.75519295808,1228.25362403452,1190.10458430325,1203.03125088256,1139.58523251242,1219.2559821041,1156.7466784418,2748.56131908423,2678.21226252438,3187.08955140695,3467.13282731463,
RR,14,Roraima,106.1001979806,118.8954456466,125.3832219404,353.0042079095,556.3152143414,844.3568110245,641.2512649091,984.6909307393,1004.125185923,940.030343373,935,853.962354063242,801.385701070833,824.999813402067,1327.08688534578,1229.62520820429,1630.36715440264,496.265688944941,646.506730058435,789.987977344869,880.225118449327,1054.98447369741,1513.02439425643,1874.22944241815,896.128968659483,
RS,43,Rio Grande do Sul,55479.1162887434,53575.9565164721,50278.6719980459,62230.3125575914,66700.6488794843,61275.5635312471,60243.9397383884,53272.0324869103,50710.0671820227,47829.8714735358,45019,42313.142241925,40372.0497687808,41436.1526337833,36678.2029051015,34708.6232082696,51881.8354040899,51269.5693566608,49812.0552223737,46834.6001789342,55724.8991803918,61381.4240776195,59977.0781121911,50374.4137614681,42427.669161882,
SC,42,Santa Catarina,26554.3963584193,24371.4804725921,29123.1029143067,37561.6458586158,29500.1595604882,26530.3526789431,25282.2741356106,19986.1882870243,20565.3680894451,21974.1579805539,21900,20671.4281836001,23836.3068184035,24606.792891539,27285.3194636853,19454.5498641045,39489.1418783095,34881.1751750043,28158.7645967933,27176.4854112494,28825.7894905132,31397.9250820184,30532.2217348501,25239.5413852344,27524.3550830989,
SE,28,Sergipe,295.7260837334,448.4652774401,716.2041616884,517.8505125469,553.2245742611,576.8093376849,708.6095910553,765.7300939549,1090.226302677,848.9547391708,845,1011.82998924683,628.621654521945,746.238982614405,654.322438744697,890.84391826959,680.059762458999,487.698833648728,377.12892586742,689.413405549185,900.278208677789,983.562958442675,1370.27813142803,1164.8515884488,1639.81753693601,
SP,35,São Paulo,22470.6674616769,23407.8015973515,25920.1315174688,29042.9216715133,27821.9419972245,24633.0671018728,25570.5677715143,23155.4249072946,21026.1254169384,25198.6680626667,22128,18324.6473143798,22640.6427734761,21615.4724495026,23689.8656120036,22908.8845956856,28861.9393216741,30803.3520540067,27053.729995688,26757.3310505813,28982.5202220357,31864.732371265,32693.623732556,28866.5678650973,36471.8581701759,
TO,17,Tocantins,532.7584409242,586.1336881899,896.680011451,1113.9613919403,1077.0880677666,1235.6090301039,1325.6118585508,1309.9680119738,1511.4236576066,1383.4817971676,1677,1486.35609734251,1275.20392774452,1145.61208418416,1280.61302554768,1358.55412016325,1088.60312721982,952.756692586034,1090.39450305145,1083.28365598927,1184.7154621815,1628.22382489229,1602.45578783567,1760.56544045649,1705.2054089349,
